Date,Open,High,Low,Close,Volume,counter,ticker,rel_change
20210210,33.48,33.52,33.4,33.46,882,1002069,WFC,-0.05973715651134137
20210210,254.34,255.0,253.58,254.16,309,1002070,LIN,-0.07077140835103357
20210210,50.78,50.83,50.7,50.74,1843,1002071,AZN,-0.07877116975186782
20210210,65.17,65.36,65.15,65.19,216,1002072,BUD,0.030688967316239157
20210210,178.63,178.82,178.32,178.32,40,1002073,LOW,-0.17354307787046386
20210210,74.49,74.74,74.29,74.32,248,1002074,MS,-0.22821855282588732
20210210,63.46,63.9,63.41,63.7,551,1002075,C,0.37819098644815696
20210210,87.01,87.705,86.81,87.52,370,1002076,PM,0.5861395241926193
20210210,623.36,623.36,618.79,620.37,71,1002077,CHTR,-0.47965862422998384
20210210,277.0,281.49,273.2,277.05,253,1002078,SE,0.018050541516245744
20210210,215.6,215.74,213.53,214.26,205,1002079,BA,-0.6215213358070515
20210210,106.77,106.89,106.28,106.53,628,1002080,SBUX,-0.22478224220285892
20210210,48.54,48.66,48.52,48.57,393,1002081,SNY,0.06180469715697523
20210210,84.1,84.14,83.76,83.93,62,1002082,RY,-0.20214030915575165
20210210,585.75,586.01,584.98,586.01,7,1002083,NOW,0.04438753734528067
20210210,41.71,41.85,41.67,41.85,243,1002084,TOT,0.33565092304004285
20210210,432.01,437.44,429.66,432.08,1466,1002085,ZM,0.016203328626640534
20210210,205.48,209.0,205.3,207.85,1197,1002086,ABNB,1.1533969242748743
20210210,731.005,731.005,729.7,729.7,2,1002087,BLK,-0.1785213507431438
20210210,27.76,27.79,27.7,27.71,145,1002088,HSBC,-0.18011527377521652
20210210,72.9,73.09,72.705,72.87,190,1002089,RTX,-0.04115226337448874
20210210,91.61,91.95,91.03,91.36,5492,1002090,AMD,-0.2728959720554536
20210210,123.09,123.4,122.48,123.15,336,1002091,IBM,0.04874482086278942
20210210,62.09,62.86,61.72,62.03,1901,1002092,UBER,-0.09663391850539549
20210210,59.01,59.06,58.9,59.0,62,1002093,TD,-0.01694628029147438
20210210,395.84,395.84,392.49,393.95,187,1002094,INTU,-0.47746564268390523
20210210,198.02,198.54,197.98,198.45,70,1002095,CAT,0.21714978285021225
20210210,232.73,234.16,232.26,233.75,54,1002096,AMT,0.43827611395179655
20210210,260.0,260.01,256.38,258.43,232,1002097,SQ,-0.6038461538461548
20210210,181.67,182.03,181.5,182.03,48,1002098,MMM,0.19816150162383916
20210210,56.69,56.79,56.52,56.66,191,1002099,SCHW,-0.052919386135119595
20210210,300.3,303.24,300.2,303.24,128,1002100,GS,0.9790209790209836
20210210,11.59,11.59,11.52,11.52,1467,1002101,GE,-0.6039689387402958
20210210,127.5,127.5,126.95,127.22,69,1002102,AXP,-0.21960784313725945
20210210,83.11,83.26,82.87,83.26,205,1002103,RIO,0.18048369630609962
20210210,73.9,74.16,73.8,73.94,384,1002104,CVS,0.05412719891744189
20210210,165.33,166.2,165.33,165.9,181,1002105,DEO,0.344765015423687
